number,year,country,activity,sex,age,fatal_clean,decade,century
65091,1972,USA,Spearfishing,M,24.0,0,1970,20
65092,1972,AUSTRALIA,Surfing,M,18.0,0,1970,20
65093,1972,AUSTRALIA,Unknown,Unknown,24.0,0,1970,20
65094,1972,SOUTH AFRICA,Swimming,M,20.0,1,1970,20
65095,1972,SOUTH AFRICA,Sitting in shallows,F,30.0,0,1970,20
65096,1972,MOZAMBIQUE,Standing,M,24.0,0,1970,20
65097,1972,FRANCE,Swimming,Unknown,24.0,0,1970,20
65098,1972,MARSHALL ISLANDS,"Free diving, collecting shells",M,24.0,0,1970,20
65099,1971,AUSTRALIA,Unknown,Unknown,22.0,0,1970,20
65100,1971,SOUTH AFRICA,Swimming,F,16.0,0,1970,20
65101,1971,AUSTRALIA,Unknown,M,20.0,1,1970,20
65102,1971,HONG KONG,Freedom Swimming,M,20.0,0,1970,20
65103,1971,AUSTRALIA,Unknown,Unknown,20.0,0,1970,20
65104,1971,USA,Surfing,M,18.0,0,1970,20
65105,1971,SOUTH AFRICA,Swimming,M,25.0,0,1970,20
65106,1971,USA,Scuba diving,M,30.0,0,1970,20
65107,1971,USA,Surfing,Unknown,17.0,0,1970,20
65108,1971,CROATIA,Swimming,M,34.0,1,1970,20
65109,1971,AUSTRALIA,Fishing,M,51.0,1,1970,20
65110,1971,AUSTRALIA,Scuba diving & feeding fish,M,26.0,0,1970,20
65111,1971,USA,Wading,M,8.0,0,1970,20
65112,1971,USA,Hookah diving (submerged),M,24.0,0,1970,20
65113,1971,SOUTH AFRICA,Surfing,M,21.0,0,1970,20
65114,1971,BRITISH ISLES,Scuba diving,M,32.0,0,1970,20
65115,1971,KENYA,Swimming,M,16.0,0,1970,20
65116,1971,SOUTH AFRICA,Swimming,M,50.0,1,1970,20
65117,1971,MEXICO,Surfing,M,19.0,1,1970,20
65118,1971,VENEZUELA,Unknown,M,14.0,1,1970,20
65119,1971,VENEZUELA,Unknown,M,66.0,1,1970,20
65120,1971,MOZAMBIQUE,Wreck of the 1689-ton Portuguese  coaster Angoche,Unknown,24.0,1,1970,20
65121,1971,NEW ZEALAND,Surfing,M,16.0,0,1970,20
65122,1971,AUSTRALIA,Swimming,M,24.0,0,1970,20
65123,1971,AUSTRALIA,Surfing,M,15.0,0,1970,20
65124,1971,IRAN,Unknown,M,24.0,0,1970,20
65125,1971,IRAN,Unknown,M,24.0,0,1970,20
65126,1970,MOZAMBIQUE,Fishing for prawns,M,18.0,1,1970,20
65127,1970,MOZAMBIQUE,Fishing for prawns,M,18.0,1,1970,20
65128,1970,MICRONESIA,Fishing,M,24.0,0,1970,20
65129,1970,USA,Shipwreck,M,41.0,0,1970,20
65130,1970,Unknown,Unknown,M,24.0,0,1970,20
65131,1970,USA,Body surfing,M,24.0,0,1970,20
65132,1970,USA,Surfing,M,24.0,0,1970,20
65133,1970,MICRONESIA,Diving,M,43.0,0,1970,20
65134,1970,PALAU,Spearfishing,M,20.0,0,1970,20
65135,1970,USA,Floating on a raft,M,18.0,0,1970,20
65136,1970,AUSTRALIA,Unknown,M,20.0,0,1970,20
65137,1970,USA,Swimming,M,24.0,0,1970,20
65138,1970,USA,Scuba diving,M,24.0,0,1970,20
65139,1970,Unknown,Sea Disaster Sinking of ferryboat Christina,Unknown,24.0,0,1970,20
65140,1970,Unknown,Unknown,M,24.0,0,1970,20
65141,1970,USA,Fishing,M,13.0,0,1970,20
65142,1970,SOUTH AFRICA,Scuba Diving,M,25.0,0,1970,20
65143,1970,GRENADA,Wading,M,16.0,1,1970,20
65144,1970,GRENADA,Wading,M,18.0,1,1970,20
65145,1970,PHILIPPINES,Motor launch Baby Princesa capsized with 22 people on board,Unknown,24.0,1,1970,20
65146,1970,GRENADA,Swimming,M,14.0,1,1970,20
65147,1970,Unknown,Freediving,M,24.0,0,1970,20
65148,1970,SOLOMON ISLANDS,Swimming,M,24.0,0,1970,20
65149,1970,USA,Body surfing,M,24.0,0,1970,20
65150,1970,USA,Wading,M,19.0,0,1970,20
65151,1970,Unknown,Wading,F,8.0,0,1970,20
65152,1970,MOZAMBIQUE,Swimming,M,14.0,0,1970,20
65153,1970,MOZAMBIQUE,Swimming,M,16.0,0,1970,20
65154,1970,MOZAMBIQUE,Swimming,M,12.0,0,1970,20
65155,1970,MOZAMBIQUE,Swimming,M,10.0,0,1970,20
65156,1970,EGYPT,Air disaster,M,24.0,1,1970,20
65157,1970,MEXICO,Swimming,M,22.0,0,1970,20
65158,1970,ENGLAND,Attempted to return injured shark to the sea,M,24.0,0,1970,20
65159,1970,PAPUA NEW GUINEA,Freediving,M,15.0,0,1970,20
65160,1970,SRI LANKA,Spearfishing / freediving,M,24.0,0,1970,20
65161,1970,SPAIN,Spearfishing,M,24.0,0,1970,20
65162,1970,ITALY,Fishing on a boat,M,24.0,0,1970,20
65163,1970,CROATIA,Spearfishing,M,24.0,0,1970,20
65164,1970,IRAQ,Washing cooking pans,F,28.0,0,1970,20
65165,1970,IRAQ,Washing clothes on stairs,F,25.0,0,1970,20
65166,1970,IRAQ,Swimming,M,35.0,1,1970,20
65167,1970,IRAQ,"Fishing, trying to catch the end of his fishing line",M,35.0,0,1970,20
65168,1969,AUSTRALIA,Swimming,M,15.0,0,1960,20
65169,1969,USA,Scuba diving for lobsters,M,24.0,0,1960,20
65170,1969,AUSTRALIA,Unknown,M,27.0,0,1960,20
65171,1969,USA,Diving,M,24.0,0,1960,20
65172,1969,USA,Free diving for abalone,M,53.0,0,1960,20
65173,1969,USA,Floating on his back,M,24.0,0,1960,20
65174,1969,USA,Fishing,M,28.0,0,1960,20
65175,1969,USA,Surfing,M,15.0,0,1960,20
65176,1969,USA,Body surfing,M,13.0,0,1960,20
65177,1969,Unknown,Unknown,M,25.0,0,1960,20
65178,1969,ENGLAND,Unknown,M,24.0,0,1960,20
65179,1969,USA,Unknown,M,13.0,0,1960,20
65180,1969,USA,Freediving for abalone (at surface),M,24.0,0,1960,20
65181,1969,USA,Wading,M,22.0,0,1960,20
65182,1969,JAMAICA,Diving,M,27.0,0,1960,20
65183,1969,USA,Wading,M,8.0,0,1960,20
65184,1969,USA,Surf-fishing,M,24.0,0,1960,20
65185,1969,USA,Diving,M,23.0,0,1960,20
65186,1969,DOMINICAN REPUBLIC,Surfing,M,18.0,0,1960,20
65187,1969,AUSTRALIA,Unknown,Unknown,24.0,0,1960,20
65188,1969,AUSTRALIA,Netting pilchards,M,24.0,0,1960,20
65189,1969,USA,Fishing,M,24.0,0,1960,20
65190,1969,AUSTRALIA,Unknown,M,65.0,0,1960,20
65191,1969,USA,Surfing,M,16.0,0,1960,20
65192,1969,AUSTRALIA,Fishing,M,49.0,0,1960,20
65193,1969,AUSTRALIA,Hard hat diving,M,52.0,0,1960,20
65194,1969,AUSTRALIA,Freediving,M,21.0,0,1960,20
65195,1969,AUSTRALIA,Unknown,M,24.0,0,1960,20
65196,1969,BAHAMAS,Sight-seeing,Unknown,24.0,0,1960,20
65197,1968,SOUTH AFRICA,Freediving,M,24.0,0,1960,20
65198,1968,AUSTRALIA,Feeding mullet to sharks,M,27.0,0,1960,20
65199,1968,NEW ZEALAND,Surfing,M,17.0,0,1960,20
65200,1968,AUSTRALIA,Unknown,M,24.0,0,1960,20
65201,1968,SOUTH AFRICA,Spearfishing,M,28.0,0,1960,20
65202,1968,SOUTH AFRICA,Unknown,M,30.0,0,1960,20
65203,1968,SOUTH AFRICA,Fishing,M,22.0,0,1960,20
65204,1968,PAPUA NEW GUINEA,Wreck of the Storm King,Unknown,24.0,0,1960,20
65205,1968,AUSTRALIA,Unknown,M,16.0,0,1960,20
65206,1968,BAHAMAS,Unknown,M,24.0,0,1960,20
65207,1968,USA,Spearfishing using Scuba,M,24.0,0,1960,20
65208,1968,PHILIPPINES,Sinking of the ferryboat Dumaguete,Unknown,24.0,0,1960,20
65209,1968,USA,Surfing,Unknown,24.0,0,1960,20
65210,1968,NEW ZEALAND,Spearfishing,M,24.0,1,1960,20
65211,1968,USA,Playing with a frisbee in the shallows,Unknown,9.0,0,1960,20
65212,1968,USA,Standing,M,15.0,0,1960,20
65213,1968,FRENCH POLYNESIA,Swimming,M,12.0,0,1960,20
65214,1968,MALAYSIA,Leaving the water,Unknown,41.0,0,1960,20
65215,1968,COLUMBIA,Dynamite fishing,M,18.0,0,1960,20
65216,1968,USA,Free diving,M,25.0,0,1960,20
65217,1968,USA,Wading,M,33.0,0,1960,20
65218,1968,USA,Spearfishing using Scuba,M,33.0,0,1960,20
65219,1968,BAHAMAS,Small boat with 2 men onboard hit a submerged coral formation. Men began swimming to shore,M,24.0,1,1960,20
65220,1968,MEXICO,Unknown,M,43.0,0,1960,20
65221,1968,BAHAMAS,Spearfishing,M,17.0,0,1960,20
65222,1968,USA,Clamming,M,17.0,0,1960,20
65223,1968,ENGLAND,Unknown,M,24.0,0,1960,20
65224,1968,TANZANIA,Schooner sank during a storm,Unknown,24.0,0,1960,20
65225,1968,PAPUA NEW GUINEA,Standing,M,17.0,0,1960,20
65226,1968,USA,Wading,M,63.0,0,1960,20
65227,1968,USA,Unknown,M,10.0,0,1960,20
65228,1968,AUSTRALIA,"Diving. Shark swallowed his hand, so he threw his other around the shark and went shark-back riding for 30 yards until the shark opened its jaws",M,21.0,0,1960,20
65229,1968,PAPUA NEW GUINEA,Swimming,M,7.0,1,1960,20
65230,1968,AUSTRALIA,Unknown,M,47.0,0,1960,20
65231,1968,SOUTH AFRICA,Wading & pushing dinghy toward  the shallows,M,35.0,0,1960,20
65232,1968,USA,Surfing,M,20.0,0,1960,20
65233,1968,USA,Treading water,M,28.0,0,1960,20
65234,1968,USA,Surfing,M,17.0,0,1960,20
65235,1968,AUSTRALIA,Swimming,F,14.0,0,1960,20
65236,1968,NEW ZEALAND,Picking up shark by the tail,F,24.0,0,1960,20
65237,1968,AUSTRALIA,Spearfishing,M,26.0,0,1960,20
65238,1968,AUSTRALIA,Unknown,Unknown,24.0,0,1960,20
65239,1968,MOZAMBIQUE,Diving,Unknown,24.0,0,1960,20
65240,1968,PAPUA NEW GUINEA,Swimming,Unknown,13.0,1,1960,20
65241,1968,COSTA RICA,Swimming after his canoe capsized,M,24.0,1,1960,20
65242,1968,USA,Diving,Unknown,24.0,0,1960,20
65243,1968,USA,Surfing,Unknown,24.0,0,1960,20
65244,1967,SOUTH AFRICA,Surfing,M,22.0,0,1960,20
65245,1967,PAPUA NEW GUINEA,Spearfishing,M,32.0,0,1960,20
65246,1967,FIJI,Unknown,M,27.0,0,1960,20
65247,1967,AUSTRALIA,Swimming,M,59.0,1,1960,20
65248,1967,USA,Unknown,M,24.0,0,1960,20
65249,1967,AUSTRALIA,Freediving,M,15.0,0,1960,20
65250,1967,AUSTRALIA,Unknown,M,18.0,0,1960,20
65251,1967,FIJI,Freediving,M,21.0,0,1960,20
65252,1967,PHILIPPINES,Sinking of the M/V Mindoro during a typhoon,Unknown,24.0,1,1960,20
65253,1967,SOUTH AFRICA,Unknown,F,24.0,0,1960,20
65254,1967,MEXICO,Swimming,Unknown,24.0,1,1960,20
65255,1967,USA,Standing on sandbar,M,19.0,0,1960,20
65256,1967,TONGA,Swimming,M,17.0,0,1960,20
65257,1967,USA,Boat capsized between O'ahu & Molokai,M,24.0,0,1960,20
65258,1967,ITALY,Scuba diving,M,21.0,0,1960,20
65259,1967,PAPUA NEW GUINEA,Diving,Unknown,24.0,0,1960,20
65260,1967,USA,Spearfishing,Unknown,24.0,0,1960,20
65261,1967,PAPUA NEW GUINEA,Spearfishing,M,24.0,1,1960,20
65262,1967,PAPUA NEW GUINEA,Spearfishing,M,23.0,1,1960,20
65263,1967,USA,Pulling shark from the water,M,24.0,0,1960,20
65264,1967,JAPAN,Unknown,M,19.0,1,1960,20
65265,1967,ITALY,Spearfishing on Scuba,M,24.0,0,1960,20
65266,1967,AUSTRALIA,"Spearfishing, dived to pick up a float line",M,23.0,1,1960,20
65267,1967,BERMUDA,Floating,F,19.0,0,1960,20
65268,1967,COLUMBIA,Unknown,M,24.0,0,1960,20
65269,1967,AUSTRALIA,Anti-sabotage night dive exercise alongside destroyer (Scuba diving),M,19.0,0,1960,20
65270,1967,USA,Spearfishing,M,15.0,0,1960,20
65271,1967,BAHAMAS,Photographing sharks underwater using Scuba,M,41.0,0,1960,20
65272,1967,SENEGAL,Beach seine netting,M,24.0,0,1960,20
65273,1967,USA,Snorkeling,M,20.0,0,1960,20
65274,1967,TURKEY,Spearfishing,M,36.0,1,1960,20
65275,1967,USA,Surfing,M,18.0,0,1960,20
65276,1967,USA,Spearfishing,M,26.0,0,1960,20
65277,1967,ITALY,Fishing boat,M,24.0,0,1960,20
65278,1967,AUSTRALIA,Unknown,M,30.0,0,1960,20
65279,1967,AUSTRALIA,Feeding a shark,M,22.0,0,1960,20
65280,1967,UNITED KINGDOM,Fishing,M,60.0,0,1960,20
65281,1967,NEW ZEALAND,Freediving,M,21.0,0,1960,20
65282,1967,SOUTH AFRICA,Spearfishing,M,32.0,0,1960,20
65283,1967,AUSTRALIA,Spearfishing,M,36.0,0,1960,20
65284,1967,AUSTRALIA,Vehicle plunged over cliff into the water,Unknown,24.0,0,1960,20
65285,1967,NEW ZEALAND,Lifesaving drill,M,21.0,1,1960,20
65286,1967,PAPUA NEW GUINEA,Unknown,M,14.0,0,1960,20
65287,1967,MEXICO,The shrimper Loless Maurine capsized in heavy seas & the men were swimming ashore,M,24.0,1,1960,20
65288,1967,SOUTH AFRICA,Fishing for rock lobster,Unknown,24.0,0,1960,20
65289,1967,SOUTH AFRICA,Spearfishing Competition,M,24.0,0,1960,20
65290,1967,MOZAMBIQUE,Swimming in the channel,M,31.0,0,1960,20
65291,1967,AUSTRALIA,Splashing,M,15.0,0,1960,20
65292,1966,AUSTRALIA,Fishing,M,30.0,0,1960,20
65293,1966,AUSTRALIA,Spearfishing,M,29.0,0,1960,20
65294,1966,AUSTRALIA,Spearfishing,M,19.0,0,1960,20
65295,1966,SINGAPORE,Wading,M,39.0,0,1960,20
65296,1966,AUSTRALIA,Spearfishing,M,29.0,0,1960,20
65297,1966,THAILAND,Unknown,Unknown,28.0,0,1960,20
65298,1966,PAPUA NEW GUINEA,A father bathing his smallest daughter when the shark bumped her out of his arms and carried her into deep water,F,9.0,1,1960,20
65299,1966,PAPUA NEW GUINEA,Swimming,F,13.0,1,1960,20
65300,1966,PAPUA NEW GUINEA,Bathing,F,8.0,1,1960,20
65301,1966,AUSTRALIA,"Free diving, carrying speargun",M,32.0,0,1960,20
65302,1966,USA,Fishing,M,20.0,0,1960,20
65303,1966,AUSTRALIA,Spearfishing,M,24.0,0,1960,20
65304,1966,AUSTRALIA,Spearfishing,M,24.0,0,1960,20
65305,1966,AUSTRALIA,Spearfishing,M,43.0,0,1960,20
65306,1966,USA,Hunting crayfish,M,14.0,0,1960,20
65307,1966,BAHAMAS,Diving / UW photography,M,24.0,0,1960,20
65308,1966,AUSTRALIA,Unknown,M,24.0,0,1960,20
65309,1966,SOUTH AFRICA,Netting sharks,M,24.0,0,1960,20
65310,1966,BAHAMAS,Snorkeling,F,18.0,0,1960,20
65311,1966,NEW BRITAIN,Swimming,F,13.0,1,1960,20
65312,1966,NEW BRITAIN,Diving into water,F,9.0,1,1960,20
65313,1966,CROATIA,Swimming,M,33.0,1,1960,20
65314,1966,TAIWAN,Lobster diving using Scuba,M,24.0,0,1960,20
65315,1966,ITALY,Attacked shark with fists,M,21.0,0,1960,20
65316,1966,USA,Spearfishing on Scuba,M,26.0,0,1960,20
65317,1966,USA,Wading,M,8.0,0,1960,20
65318,1966,USA,Diving for sand dollars,M,16.0,0,1960,20
65319,1966,USA,Killing a shark,M,34.0,0,1960,20
65320,1966,USA,Fishing,M,14.0,0,1960,20
65321,1966,TAIWAN,Swimming,M,20.0,1,1960,20
65322,1966,PAPUA NEW GUINEA,Swimming,F,25.0,1,1960,20
65323,1966,USA,Free diving,M,46.0,0,1960,20
65324,1966,CARIBBEAN SEA,Unknown,Unknown,24.0,0,1960,20
65325,1966,USA,Clamming,M,15.0,0,1960,20
65326,1966,USA,Fishing,M,18.0,0,1960,20
65327,1966,USA,Swimming,M,18.0,0,1960,20
65328,1966,FRENCH POLYNESIA,Fishing,M,24.0,0,1960,20
65329,1966,AUSTRALIA,Sinking of the dredge World Atlas,M,40.0,1,1960,20
65330,1966,AUSTRALIA,Fishing,M,24.0,0,1960,20
65331,1966,AUSTRALIA,Shipwreck,M,38.0,1,1960,20
65332,1966,USA,Spearfishing / Scuba diving,M,24.0,0,1960,20
65333,1966,PHILIPPINES,The passenger ship Pioneer Cebu  capsized & sank in Typhoon Irma,M,24.0,1,1960,20
65334,1966,USA,Swimming,M,25.0,0,1960,20
65335,1966,AUSTRALIA,Overturned skiff,M,24.0,0,1960,20
65336,1966,AUSTRALIA,Fishing (big game),Unknown,24.0,0,1960,20
65337,1966,SUDAN,"The World Liberty and the tanker Mosli collided. The  Halcyon Breeze sent a lifeboat to the rescue, but it was smashed, throwing 6 men in the  water.",M,24.0,1,1960,20
65338,1966,AUSTRALIA,Treading water,M,13.0,0,1960,20
65339,1966,SOUTH AFRICA,Helping men land a shark,M,33.0,0,1960,20
65340,1966,INDONESIA,wreck of the State Oil Company ship Permina,Unknown,24.0,1,1960,20
65341,1966,USA,Free diving / spearfishing (resting on the surface),M,29.0,0,1960,20
65342,1966,AUSTRALIA,Spearfishing,M,30.0,0,1960,20
65343,1966,COLUMBIA,Colombian  (Avianca) DC-4 airliner plunged into the sea 5 minutes after takeoff,Unknown,24.0,1,1960,20
65344,1966,SOUTH AFRICA,Standing,M,16.0,0,1960,20
65345,1966,AUSTRALIA,Jumped into the water,M,43.0,0,1960,20
65346,1966,SOUTH AFRICA,Body surfing,M,15.0,0,1960,20
65347,1966,NEW ZEALAND,Body surfing,F,15.0,1,1960,20
65348,1966,USA,Swimming,M,35.0,0,1960,20
65349,1966,USA,Walking,F,15.0,0,1960,20
65350,1965,AUSTRALIA,"Spearfishing, but standing in knee-deep water",M,40.0,0,1960,20
65351,1965,JOHNSTON ISLAND,Freediving,M,24.0,0,1960,20
65352,1965,AUSTRALIA,Fishing,Unknown,24.0,0,1960,20
65353,1965,AUSTRALIA,Fishing from 34' boat when pulled overboard by hooked shark,M,43.0,1,1960,20
65354,1965,PACIFIC OCEAN,"Hauling dead shark aboard, when another shark leapt out of the water & bit him",M,44.0,0,1960,20
65355,1965,PANAMA,Argentine Air Force C-54,Unknown,24.0,0,1960,20
65356,1965,AUSTRALIA,Surfing,M,24.0,0,1960,20
65357,1965,Unknown,The boat Caribou II sank,M,39.0,0,1960,20
65358,1965,BAHAMAS,Sunbathing on beach when he saw child being attacked by the shark,M,32.0,0,1960,20
65359,1965,BAHAMAS,Playing in the water,F,24.0,1,1960,20
65360,1965,NEW BRITAIN,"Spearfishing, shot a turtle",M,15.0,1,1960,20
65361,1965,PAPUA NEW GUINEA,Wading,M,27.0,0,1960,20
65362,1965,PAPUA NEW GUINEA,Spearing fish,M,24.0,0,1960,20
65363,1965,PAPUA NEW GUINEA,Fishing (rod & line),M,24.0,0,1960,20
65364,1965,MEXICO,Unknown,M,23.0,0,1960,20
65365,1965,PHILIPPINES,"Arsinoe, a French tanker",M,24.0,0,1960,20
65366,1965,USA,Swimming,M,15.0,0,1960,20
65367,1965,BAHAMAS,Attempting to anesthetize shark,M,24.0,0,1960,20
65368,1965,MEXICO,Bathing,M,25.0,1,1960,20
65369,1965,BERMUDA,Unknown,Unknown,24.0,0,1960,20
65370,1965,USA,Wading,M,6.0,0,1960,20
65371,1965,USA,"Diving, retrieving film package from Titan 3C rocket",M,24.0,0,1960,20
65372,1965,MEXICO,Swimming,M,38.0,0,1960,20
65373,1965,PAPUA NEW GUINEA,Spearfishing,M,24.0,0,1960,20
65374,1965,SOUTH PACIFIC OCEAN,Treading water,M,24.0,1,1960,20
65375,1965,MEXICO,Swimming,M,24.0,1,1960,20
65376,1965,MEXICO,Swimming,M,24.0,1,1960,20
65377,1965,EGYPT,Standing,M,24.0,0,1960,20
65378,1965,JAMAICA,Diving,M,24.0,0,1960,20
65379,1965,MEXICO,Swimming,M,35.0,0,1960,20
65380,1965,USA,Unknown,M,49.0,0,1960,20
65381,1965,USA,Surfing,M,19.0,0,1960,20
65382,1965,USA,Spearfishing,M,28.0,0,1960,20
65383,1965,PALAU,Walking on reef,M,8.0,0,1960,20
65384,1965,USA,Paddling on surfboard,M,17.0,0,1960,20
65385,1965,USA,Aircraft exploded,M,24.0,0,1960,20
65386,1965,USA,Free diving,M,16.0,0,1960,20
65387,1965,SOUTH AFRICA,Treading water,M,25.0,0,1960,20
65388,1965,USA,Scuba diving,M,18.0,0,1960,20
65389,1965,USA,Motor boat Rebel Belle lost,M,21.0,0,1960,20
65390,1965,SOUTH AFRICA,Paddling rescue ski,M,22.0,0,1960,20
65391,1965,SOUTH AFRICA,Body surfing,M,20.0,0,1960,20
65392,1965,AUSTRALIA,Swimming,M,24.0,0,1960,20
65393,1965,NEW GUINEA,Free diving,M,30.0,1,1960,20
65394,1965,USA,Dangling feet in the water,M,13.0,0,1960,20
65395,1965,USA,Surfing,M,24.0,0,1960,20
65396,1965,USA,Collecting marine specimens,M,24.0,0,1960,20
65397,1965,RED SEA,Standing in waist-deep water,M,24.0,0,1960,20
65398,1965,EGYPT,"Spearfishing, but standing in the water",M,25.0,0,1960,20
65399,1965,VANUATU,Unknown,M,24.0,1,1960,20
65400,1965,SOUTH AFRICA,Bather,Unknown,24.0,0,1960,20
65401,1964,SOUTH AFRICA,Swimming,M,19.0,0,1960,20
65402,1964,PAPUA NEW GUINEA,Unknown,M,24.0,0,1960,20
65403,1964,AUSTRALIA,Fishing,Unknown,24.0,0,1960,20
65404,1964,PAPUA NEW GUINEA,"Canoe swamped, swimming back to canoe",M,28.0,0,1960,20
65405,1964,KENYA,Fishing with hand line tied to wrist & was pulled into the water,M,10.0,1,1960,20
65406,1964,AUSTRALIA,Free diving with seals,M,25.0,0,1960,20
65407,1964,AUSTRALIA,Swimming out to rescue swimmers in difficulty,M,29.0,1,1960,20
65408,1964,AUSTRALIA,"Filming underwater, carrying powerhead",M,25.0,0,1960,20
65409,1964,USA,Longline fishing,Unknown,24.0,0,1960,20
65410,1964,SOUTH AFRICA,Surf fishing,M,24.0,0,1960,20
65411,1964,USA,Boat Miss Becky  sank 12 miles from shore,Unknown,24.0,0,1960,20
65412,1964,AUSTRALIA,"Surfing, but swimming to his board",M,19.0,0,1960,20
65413,1964,Unknown,Spearfishing,M,24.0,0,1960,20
65414,1964,TAIWAN,Swimming,M,32.0,1,1960,20
65415,1964,TAIWAN,Swimming,M,20.0,0,1960,20
65416,1964,USA,Swimming,M,14.0,0,1960,20
65417,1964,MEXICO,Floating on his back in an inner tube,M,19.0,0,1960,20
65418,1964,USA,Spearfishing / free diving,M,18.0,0,1960,20
65419,1964,USA,Swimming,M,24.0,0,1960,20
65420,1964,USA,Spearfishing using scuba,M,28.0,0,1960,20
65421,1964,JAPAN,Swimming,M,12.0,0,1960,20
65422,1964,PANAMA,Free diving / Spearfishingat edge of reef,M,21.0,0,1960,20
65423,1964,USA,Unknown,M,22.0,0,1960,20
65424,1964,SOUTH AFRICA,Searching for remains of  Dr. Marais,M,30.0,0,1960,20
65425,1964,USA,"Yacht Gooney Bird foundered, 4 survivors on raft",Unknown,24.0,0,1960,20
65426,1964,SOUTH AFRICA,Spearfishing,M,52.0,1,1960,20
65427,1964,USA,Tagging sharks,M,24.0,0,1960,20
65428,1964,PAPUA NEW GUINEA,Standing / fishing,M,24.0,1,1960,20
65429,1964,PAPUA NEW GUINEA,canoeing,Unknown,24.0,0,1960,20
65430,1964,BERMUDA,Conducting a promotional film project for the Gemini space program (a practice astronaut recovery),Unknown,24.0,1,1960,20
65431,1964,USA,Attempting to swim across the Atlantic Ocean,F,29.0,0,1960,20
65432,1964,USA,Fishing,Unknown,24.0,0,1960,20
65433,1964,PAPUA NEW GUINEA,Fishing,M,24.0,0,1960,20
65434,1964,FIJI,Spearfishing,M,23.0,0,1960,20
65435,1964,SOUTH AFRICA,Swimming,M,40.0,0,1960,20
65436,1964,PANAMA,Standing,M,47.0,0,1960,20
65437,1964,FIJI,Spearfishing,M,35.0,1,1960,20
65438,1964,PANAMA,Skin diving,M,13.0,1,1960,20
65439,1964,PAPUA NEW GUINEA,Fishing,M,24.0,1,1960,20
65440,1964,AUSTRALIA,Surfing,M,19.0,0,1960,20
65441,1964,PAPUA NEW GUINEA,"Canoe capsized with 10 occupants, 8 survived,  Hamilton swam off to seek help",M,32.0,1,1960,20
65442,1964,USA,Skin diving,M,38.0,0,1960,20
65443,1964,SENEGAL,Free diving for shell,M,24.0,0,1960,20
65444,1964,FIJI,Fishing,Unknown,24.0,0,1960,20
65445,1964,NEW CALEDONIA,Diving for trochus shell,M,15.0,1,1960,20
65446,1964,FIJI,Spearfishing,M,17.0,1,1960,20
65447,1964,NEW ZEALAND,preparing to go skin diving,M,24.0,0,1960,20
65448,1964,NEW ZEALAND,Spearfishing,M,26.0,0,1960,20
65449,1964,SOUTH AFRICA,Body boarding,M,25.0,0,1960,20
65450,1964,NEW ZEALAND,Lying in 2 feet of water,M,24.0,0,1960,20
65451,1964,NEW ZEALAND,Swimming,M,19.0,1,1960,20
65452,1964,AUSTRALIA,Swimming,M,23.0,0,1960,20
65453,1964,NEW ZEALAND,Rowing,Unknown,24.0,0,1960,20
65454,1964,USA,Floating,M,12.0,0,1960,20
65455,1964,COSTA RICA,Swimming,M,24.0,1,1960,20
65456,1964,FIJI,Spearfishing,Unknown,24.0,1,1960,20
65457,1964,SOUTH AFRICA,Body surfing,M,39.0,0,1960,20
65458,1964,SOUTH AFRICA,Standing,M,17.0,0,1960,20
65459,1964,SOUTH AFRICA,Shark watching,Unknown,24.0,0,1960,20
65460,1964,AUSTRALIA,Freediving,M,24.0,0,1960,20
65461,1964,USA,Spearfishing / Scuba diving (at surface),M,21.0,0,1960,20
65462,1964,PAPUA NEW GUINEA,Fishing,M,24.0,1,1960,20
65463,1964,FIJI,Swimming,F,20.0,0,1960,20
65464,1964,AUSTRALIA,Unknown,Unknown,24.0,0,1960,20
65465,1964,SOUTH AFRICA,Diving for sinkers,M,24.0,0,1960,20
65466,1964,NEW ZEALAND,Snorkeling,M,24.0,0,1960,20
65467,1963,SOUTH AFRICA,Standing,F,20.0,0,1960,20
65468,1963,SOUTH AFRICA,Swimming,M,24.0,0,1960,20
65469,1963,AUSTRALIA,Sitting on gunwale of boat,M,24.0,0,1960,20
65470,1963,SOUTH AFRICA,Swimming,M,18.0,1,1960,20
65471,1963,ATLANTIC OCEAN,"Greek steamship Lakonia caught fire, 98 of her 646 passengers, and 30 of her crew of 376 perished",F,24.0,0,1960,20
65472,1963,SOUTH AFRICA,Helping friend land hooked shark,M,13.0,0,1960,20
65473,1963,AUSTRALIA,Fishing,M,24.0,0,1960,20
65474,1963,SOUTH AFRICA,Spearfishing,M,24.0,0,1960,20
65475,1963,SOUTH AFRICA,Splashing in surf,M,15.0,1,1960,20
65476,1963,AUSTRALIA,Spearfishing,M,23.0,0,1960,20
65477,1963,NEW BRITAIN,Spearfishing,M,22.0,1,1960,20
65478,1963,NEW ZEALAND,Treading water while alongside capsized yacht,M,20.0,0,1960,20
65479,1963,PAPUA NEW GUINEA,Fishing / standing in waist deep water,F,18.0,0,1960,20
65480,1963,FIJI,Fishing,F,21.0,0,1960,20
65481,1963,FIJI,Spearing fish,M,25.0,0,1960,20
65482,1963,ITALY,Spearfishing,M,28.0,0,1960,20
65483,1963,AUSTRALIA,Catching sharks under government contract,M,24.0,0,1960,20
65484,1963,USA,Testing anti-shark cage,M,24.0,0,1960,20
65485,1963,PAPUA NEW GUINEA,Wading,M,24.0,0,1960,20
